"FRAUD_MSG_LIST","Fraud Messages"
"Paylike","Paylike"
"Enable Paylike","Enable Paylike"
"Payment method title","Payment method title"
"Payment method credit card logos","Payment method credit card logos"
"Payment method description","Payment method description"
"Payment popup title","Payment popup title"
"Transaction mode","Transaction mode"
"Test mode Public Key","Test mode Public Key"
"Test mode App Key","Test mode App Key"
"Live mode Public Key","Live mode Public Key"
"Live mode App Key","Live mode App Key"
"Capture mode","Capture mode"
"Checkout mode","Checkout mode"
"Sort Order","Sort Order"
"Visa","Visa"
"Visa Electron","Visa Electron"
"MasterCard","MasterCard"
"Maestro","Maestro"
"Instant","Instant"
"Delayed","Delayed"
"Authorize","Authorize"
"Test","Test"
"Live","Live"
"My billing and shipping address are the same","My billing and shipping address are the same"
"Place Order","Place Order"
"Sorry, but something went wrong","Sorry, but something went wrong"
"Payment data object should be provided","Payment data object should be provided"
"Order payment should be provided.","Order payment should be provided."
"No authorization transaction to proceed capture.","No authorization transaction to proceed capture."
"Response does not exist","Response does not exist"
"Gateway rejected the transaction.","Gateway rejected the transaction."
"The text shown in the popup where the customer inserts the card details","The text shown in the popup where the customer inserts the card details"
"In test mode, you can create a successful transaction with the card number 4100 0000 0000 0000 with any CVC and a valid expiration date.","In test mode, you can create a successful transaction with the card number 4100 0000 0000 0000 with any CVC and a valid expiration date."
"Get it from your Paylike dashboard","Get it from your Paylike dashboard"
"If you deliver your product instantly (e.g. a digital product), choose Instant mode. If not, use Delayed.","If you deliver your product instantly (e.g. a digital product), choose Instant mode. If not, use Delayed."
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
